"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","05/11/2022","4:45 PM"

"SN","MAGPX16145704"
"Batch","IgG_CovidOiseS4_30plex_plate5_20220511"
"Version","1"
"Operator","mph"
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Covid_30plex_new"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleWash","Off"
"SampleVolume","65 uL"
"BatchStartTime","5/12/2022 6:17:40 PM"
"BatchStopTime","5/12/2022 7:19:45 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","30"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 05/09/2022 12:07:47"
"Last VER Verification","Passed 05/09/2022 12:08:49"
"Last Fluidics Test","Passed 05/09/2022 12:10:09"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B83445","09/15/2022","5/9/2022 12:07:47 PM","26","26","26","26","163","205","310","310","0.00721","0.0071","0.00394","0.11668","Pass","MAGPX16145704"


"Samples","96","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
"13(1,B1)","Unknown2","20816.5","447.5","345.5","1178","1671","595","1211.5","420","5942","2741","7776","11741","808.5","374","17537","19573","354","18703","255.5","17661.5","5362","2157.5","6535","15571","2178","5176","6763","3935","10280","6724","1534"
"14(1,B2)","Unknown10","25550.5","331","2440.5","1028","2086.5","635","319","168.5","7489","406","9685","13316","479","1980","18043","22344","1067","11436.5","186","19067.5","1340","3546","7672","15566","9581","5913","8138","3188","12765.5","8709","1759"
"15(1,B3)","Unknown18","25544","455.5","4179","464","2525","511","1179","302.5","8436.5","1356","10326","13931","523","4163.5","21619","23855","1419","16252.5","594","23039","2419","6996.5","8062","20129.5","3290","7873","9214","6060","14779","9607.5","1980"
"16(1,B4)","Unknown26","27030","740","1901","291","335","371.5","511","593.5","9885.5","858","11508","14962","1541","3093","23431","26618.5","275","14533","747","24770","1449","2803","9379.5","22586","6812.5","9591.5","11779","6280","18099.5","11110","1604"
"17(1,B5)","Unknown34","13167","233.5","1336","335","227.5","377","585.5","142","2420","1581","2959","6074","349","1188","9721","12310","113","7198","278.5","9706","1101","1267.5","2975","8636","783.5","1129","1505","2037","3114","1381","1804"
"18(1,B6)","Unknown42","13711","537","922","741","550","548.5","1523.5","915","2475","591","3629","6462.5","2206","9911","10337","13179.5","776.5","6118","2228","11556","2291.5","490.5","3070","8879","5754.5","2112","2773.5","2310","4419","2168","1759"
"19(1,B7)","Unknown50","24555.5","407","1757.5","373","450","354","550","184","8088.5","216.5","9685.5","12869","538","1022.5","20998","22844","176","11899.5","711.5","22453.5","2136.5","5485","7825","19388","1304.5","7047","9187","5764","13931","8534","1583"
"20(1,B8)","Unknown58","13559","475","2159.5","750.5","2322","398","374.5","160","3605","1201","3974","7553","663","2335","9619","15643.5","1177","15696","268","15904.5","3667.5","1520.5","4137","11539.5","2455","3861.5","4910","2516.5","8210","6028","1642"
"21(1,B9)","Unknown66","20603","311","1339","632","430","432","613","188.5","4758.5","1582","5875","10750.5","582","3140","14052","19232","434","4822","187","16140","2289","294","5932","13949.5","2849.5","4927.5","5943","2001.5","9321","7066","1381"
"22(1,B10)","Unknown74","27914","607","2601","816","1017","764","2007","225","12163","2384.5","13328","15986","689","4308","23689.5","25304","227.5","4704.5","632.5","24814.5","3049","661.5","10550","22566.5","1422","11171","13583","5350","18861","12646.5","1356"
"23(1,B11)","Unknown82","954","312","5227","415","841","295","342","695","229","259","288.5","320.5","631","7708.5","1958.5","9128","123","23809.5","2047","11982","3393","9796","190","6668","1835","205","277","2337","9787.5","1913","1623"
"24(1,B12)","Unknown90","25222.5","403","4680","658.5","1596","1395.5","1329","676","9176.5","2413","10184","13700","630","697","21216","23023.5","270","12959.5","2150.5","22189","1946.5","2429.5","8551","20926","1147.5","8728.5","11143","3161.5","17491","11648","1263"
"25(1,C1)","Unknown3","23593.5","495","1369","451","512","275","449","148","7113","185","8158","12579","510.5","2755","20464.5","21785","342","13074","371.5","20833","1510","588","6924","18517","2339","5582.5","7247","5658","13504","7017","1523"
"26(1,C2)","Unknown11","6740","647.5","1775","598","856","784","1514","360","2646.5","4038.5","3687.5","2758","612","1080","11945","7028","191","14139.5","7947.5","6976","930","2263","920","7083","3097","861","1117","1961","2906","1027.5","1389"
"27(1,C3)","Unknown19","26724","665","893.5","2845","701","640","1055.5","182","9806","1982","11041","15103","925.5","2239","21854","23959.5","254","7028","2222","21712.5","644.5","2168","9308","21483","1241","9315.5","12034.5","2938.5","18725","12189.5","1629"
"28(1,C4)","Unknown27","27101.5","884.5","2235.5","462","561.5","619","674.5","166","11549.5","2089.5","13328","16500","650","2111","23931","27247","992","5685","2204.5","25668.5","2228","1300","11034","24284","1342","10991","13838","8780","19212","12699","1617"
"29(1,C5)","Unknown35","17896","269","1159","259","1017.5","198","576","145","5210","582","6684.5","9825","517","1707","14567.5","18461","637.5","7300","164","18125.5","1788","1108","5849","14578","1345","5133","6648","3105","12584","7356","1430"
"30(1,C6)","Unknown43","28824.5","1524","2310","742.5","1468.5","771","712","186.5","12397","1358","13459.5","16808","471","4190","25663","27633","701","4539","6179.5","28631","3060","1210.5","10705","24082","5732.5","10402.5","12150","9132","17537.5","12874.5","1572"
"31(1,C7)","Unknown51","7414.5","226","1544","231","1381.5","459","871","84.5","1660","2129","1772.5","4931","380.5","2158.5","3526","9420.5","418.5","18235","236","9460.5","684.5","1853","2285","5891","1067","2311","2489","1339","4566","3552","1444"
"32(1,C8)","Unknown59","8440","518","960.5","1684","853","616","1155","121.5","2097","2390","2361.5","4932","447.5","5622","6367","11944","202.5","5136","178","12879","1934.5","986","2390","8614","2509","2201","2480","2533.5","3837.5","3752","1855"
"33(1,C9)","Unknown67","26861","684","1606","1834","5918","560","742.5","198","8680","1912.5","9932","13985","661","5149","22291","24776","1400","14035","1270","24533","3579","7877","8195","21164.5","2507","7817","9959","6682","15622","9090","1731"
"34(1,C10)","Unknown75","25967.5","289","2021","424","976","397","675","137.5","8947","1924","10205","14285","508","106","20570","23670.5","72.5","6765.5","145","23911","1836.5","1271","7819.5","18804","834","7998","10151","3095.5","13527","11619","1796"
"35(1,C11)","Unknown83","71","301","753","398.5","188","403.5","657.5","212.5","127","1379","131","147","367","628","127.5","116","190","13768","164","132","714","5482.5","155.5","386","948.5","127.5","138","155","129","147","1793"
"36(1,C12)","Unknown91","22517","842","1376","1717.5","1176.5","688","1018","1398","7311","2632","8845","12411","498","1671","19139","21599","972","12317","6192","20366","1488","1082","7233","17659","739.5","6726","8338","4488","13291","9471.5","1492"
"37(1,D1)","Unknown4","23758","259.5","1188.5","694.5","723.5","390","180","230","6310.5","798","7224","11016","1492.5","3125","16482","20735.5","118","17959","273","18951.5","1808","4764","6307","15906","384","6146","7087","2777","9506","6905.5","1732"
"38(1,D2)","Unknown12","13460","802","723","1197","1235.5","267","144","132","1776","405.5","2193","5798","263","991","8774","13502","287","11618.5","13977","14125","1294","456","2787","11114","367","2558","3191","3919.5","7522","2654","1841"
"39(1,D3)","Unknown20","663","308","755","1424","1512.5","401","2166","239.5","175","362","280","229","344.5","5190","1372","1948","231","14328.5","1061","2258","1084","2345","198","1763","936","166","202.5","1004","6152.5","880.5","1988"
"40(1,D4)","Unknown28","28780","2632","1187","1290","463","283.5","903","462","9268.5","289","12313","16264","1110","3768","25027.5","27968.5","758.5","14531","22692.5","25006","1621","1369.5","9904","22521.5","1012.5","8844","11226","6398","18672","11735","1564"
"41(1,D5)","Unknown36","25105","677","565","805","1158","660","791","135.5","8468","1779","9920","13913.5","1145.5","963","20576","22541.5","172","18705","1603","20019","777","6792","8308","20223","1234","8754","10957","1000","17579.5","10712","1676"
"42(1,D6)","Unknown44","14312","466.5","1971.5","933","1974","874","2045.5","383","4604","4558","6154","8250.5","1221","1871","12225","13259","2584.5","10919","1482.5","12391","3480","2320.5","5666","11764","9850.5","4645","6235","2981","6588","2091","1686"
"43(1,D7)","Unknown52","22203","205","1498.5","166","187","141.5","147","119","5380","174","7575.5","12906","290","4739","15463","21572","661","2930","136","17739","2834","2419","6914","12319.5","383","5655","6204.5","2990","10183.5","8433.5","1455"
"44(1,D8)","Unknown60","25373","665","2409","617","1868","951","1333.5","142.5","7890","2705","8397.5","14728.5","457","1859","17750.5","23372","457","12831","827","20517","2025","4933","8476.5","18258","1323","8288","9879","2593","17704","14090","1698"
"45(1,D9)","Unknown68","16285.5","582","1332","5140.5","2134","2065","504","166","3236","1382","4229.5","8023","284","934","12520","14873","426","2408.5","1459","13789","1755","655","4296","12602","1912","3137","4148.5","2507.5","7895","4507","1574"
"46(1,D10)","Unknown76","26582","807","2313","470","1214","933.5","1277","446","12653","2428.5","14484.5","16127","1021","2828","23432","25644","562","19547","4682","23951.5","163","2970","11657","23106","4858","13189","14301","5503","21442","16587","1768"
"47(1,D11)","Unknown84","787","947.5","2291","1078.5","1254","1587","1268","986.5","710","2222","909","916.5","1392.5","554","1367","2981","844.5","17194","4028","4126.5","1286","13768.5","623","2658.5","1189.5","649","656","1432","6962.5","2002","1415"
"48(1,D12)","Unknown92","16940","254","892.5","379","1247","239","1002","2272","4854","376","5158","8891.5","199","4324","12373","18061.5","5246","8913.5","344","18405","2922","3061.5","4819.5","13003","3816","4267.5","5304","3687","8903","6533","1528"
"49(1,E1)","Unknown5","22644","583.5","2323","415","1184.5","588","578","377.5","4213","1069.5","7164","11955","1238.5","1123.5","17204","19413","621","16045","3718","16122","2868","1991","6507","13441","3688.5","3197.5","4739","3099.5","11688","6028","1727"
"50(1,E2)","Unknown13","24208.5","919","2887","1012.5","980","1220","1723","337","6674","3074","8178","13072","883.5","1547","20686","25290","873","16247","552","23498","2093.5","5496","7814","20460","1142","6211.5","8610","6782.5","13595","7355","1543"
"51(1,E3)","Unknown21","19238","605","1012","446.5","1505","648.5","1066","312","5220","1948","5860.5","9550","463","2342","15304.5","18937","85","10526","507.5","19256","2691","2634","5312","15493","812","5107","6481","4538","10211","5269","1796"
"52(1,E4)","Unknown29","29062","1317","2943","595","2805.5","614","403","185","14003.5","983","14677","16918.5","608.5","2342","25461.5","27557","1355","14966","6986","25876","3543","3145","11523","25225","2048.5","13881","15343","9138","21717","16018.5","1535"
"53(1,E5)","Unknown37","12481","990","761.5","2534.5","3503","1802","1267","1183","2869","1246","4169","7249","1079","2386.5","8801.5","13160","1547","2880","695","12396","2276","2476","4305","9493","3711.5","3628.5","4076.5","2411","7180","6354","1630"
"54(1,E6)","Unknown45","20077","781","5448","2470","1449","551","1055.5","114","4521","2434","5061","9192","720.5","1648","14339.5","19240","217","8819","1111","20793","4033","1897.5","5546","14451","9492.5","4430.5","5829","5946","7643.5","5278","1510"
"55(1,E7)","Unknown53","9297","1481","2463.5","904.5","1096","1018","2667","274","1683","3326","1944","3344","1217","2858","14196.5","11494","2073.5","6592","15783","12131","4454","1943","1545","10827","2086","1493.5","2215","1207","7960","1878","1546"
"56(1,E8)","Unknown61","20322.5","380.5","1983","387","923","601","1240","135.5","5552.5","2759","7024","10898","928","2261","16174.5","20223","3048.5","9818","672","19160","4102","3207.5","6332","14574","5137.5","5648","6864","2715.5","11216","7398","1363"
"57(1,E9)","Unknown69","23624","715","2607","434","461","450","808","126","9180","1681","9767","13275","671","2791.5","19494","23951.5","152","5795","606.5","24127","1965.5","5373","8189.5","19873","643","8673","10328","7327","13043","10198","1788"
"58(1,E10)","Unknown77","22835","473","1430","1118","2374","681","1248","1327.5","7255","2340","8577","12135.5","318","727.5","17819.5","21318","219.5","18948.5","2169","20242.5","1645.5","6872","7758","17412","1859.5","6985","9043","4132","12949","8915","1800"
"59(1,E11)","Unknown85","12946","1259","7621","935","2049","1243","1416","766.5","3145","2413","4168.5","6706","1768.5","2474","10259","12954","1094","6273","5806","10963.5","2345.5","1217","3743","11074.5","2926","2738","3823","2848.5","6995.5","3368.5","1448"
"60(1,E12)","Unknown93","20487","486","2953","533.5","1624","366","165","158.5","5408","230","6533","9950","562.5","1489","17017","18843","951","9389","2845","17506","2540","1178","5686","15398","2630","4396","5706.5","2654.5","10297","5520.5","1714"
"61(1,F1)","Unknown6","24678.5","377","3545","928.5","956","383","318","105","8799.5","615","10297","14138","1049","3849","20129.5","23148.5","338","8069","770","21339.5","824","785","8977","19674","1315","9351","11360","3490","17794","13265","1507"
"62(1,F2)","Unknown14","25417","1270.5","3698","1209","3122.5","1425","3061.5","2372","8085.5","2594","9971","13650.5","1054","3160.5","21676.5","23722","2263","7062","2344","23970","1653","2106","9061","21517","1853.5","8656","10148.5","7715","14744","11271","1739"
"63(1,F3)","Unknown22","27183.5","764","3466","3696","3114","1441","6016","155","12524","595","14011","16494","2182","11605","23295","25529","1455","14581.5","5001","24177.5","2851","1144","11124","22869","5360.5","12412","14479.5","5819","20842","15471","1856"
"64(1,F4)","Unknown30","23518","425","1091","283","1182.5","526","889.5","156","6555","2556","7646.5","9957","538","1165","21542.5","22558","402","9461","752","22223","2559","560","6521","21854.5","2030","7643","8535","5474","11842","10917","1533"
"65(1,F5)","Unknown38","25534","902","992","397","1177","492.5","920.5","258","8128.5","1880.5","9793","13202","547","2273","22212","24106.5","1235","4186","1412.5","23777","2135","913","8326.5","20606","2473","7409.5","9248","6371","15874.5","9027","1784"
"66(1,F6)","Unknown46","27205","1703","1332","445","538","431","375","332","10643","469","12291","15900.5","489","798.5","23027.5","25265.5","2039","7145","14863","23990","5288","1804","9844.5","22342.5","2506","10255","13240.5","8474","19421","12073.5","1725"
"67(1,F7)","Unknown54","88.5","609.5","4137","1092.5","693","1324","8980","355","181","1215","224.5","273.5","751","5197.5","204","151","1063.5","16754","223","144","658","5499","236","281","2726.5","205.5","236","231","191","254","1476"
"68(1,F8)","Unknown62","16241","341","1740","554","849","353","362","224","3140","1437","4505","7488","491","739","12565","14935","185.5","9908","2828.5","14707","1660","6119","4404","12931","2155","3392","4660.5","2679","9380","5037","1715"
"69(1,F9)","Unknown70","17405","218","2777","411","1086","402.5","485.5","1316","4795","1176","5868","9953","652","1751","13942","17883","588","15982","813","15829","2491","2195","5737","13096","980.5","4764","6182","1659.5","12004.5","7403","1727"
"70(1,F10)","Unknown78","21532","683","1952.5","3000","2217","833","2061","213","7631","4565","9283","12320","1689","756.5","18284","21001","2000.5","24070.5","799","21852","3984","5080","7456","17424","226","6789.5","8440","6590","11732","6835","1751"
"71(1,F11)","Unknown86","26429.5","2558","2101","2027","1795","745.5","435.5","2009","9622.5","1073","11415","14913.5","598","1518.5","22161","24223.5","940","19570","19418.5","21662","3579","2109","9031.5","19968","8184","7459.5","10444","5541","18164","11107","1930"
"72(1,F12)","Unknown94","18345","232","641","265","729","357","480.5","109","3691","1131","6204.5","8545","325","1706.5","15645","16315","770","1042.5","182","15135.5","3362.5","898","4877","12762","1552.5","3023.5","5077","2524","9171","4068.5","1309"
"73(1,G1)","Unknown7","27862","683","2098","897","697","525","1080","140.5","11960","2153","12966","16157","399","684","23705","25648","1178.5","14081","5261","24907.5","1783.5","1910","11048.5","23444","888","11473","14334","5058.5","19872","14564","1542"
"74(1,G2)","Unknown15","27699","562","2184","2271.5","1444.5","516","910.5","142","9813","2111","12216","15392","552","2481","23042","25625","159","6536","1752","24273","1836","1048","9527","20549.5","419","8496","10528","4938.5","16604.5","11254","1618"
"75(1,G3)","Unknown23","27153.5","582","1795","290","948","431","412","182","10846","1025.5","12260","14874","852.5","2527","22219","24959","1078","13450.5","1451","23713","4303","3856.5","10501.5","21341.5","6240","11946","13027","4248","18691","15092.5","1855"
"76(1,G4)","Unknown31","28303","831","7729","3270","1118","1719","425","257.5","10182","521","11947","15140","381","1423","22699","25625.5","944","10125","291","24656","2286.5","1663","10063","22243","3666","10461","12360","6057","17120","14243","1556"
"77(1,G5)","Unknown39","18966","666","507","369","404","482","1127","110","4139.5","2548","5256","9264.5","526","1483.5","15276","20176.5","1405.5","5453","189","18322","665","1735","5089","15714","4291","3279","5056.5","6105","9369","3600","1698"
"78(1,G6)","Unknown47","19860","742","1860","1557","822","565","665","830","5288","1288","6455.5","10814","821","4482","14409.5","20610","485","9368","796","20425","1360.5","6789.5","6607.5","15429.5","6590","6502","7284","5649","13088","10349","1720"
"79(1,G7)","Unknown55","435.5","360.5","3865","482","1138","887","793","167","183.5","1493","246","203.5","976","2362","999","1854","368","16585","6561","2299","419.5","6568","209","1483","1392","208.5","203","816","5399","934.5","1747"
"80(1,G8)","Unknown63","24016","425","2033","194","562","209","257.5","351.5","7887","410","9301","12382","1414","2112.5","20474","23195","296.5","6967","797","23218","694","971.5","7213.5","19436","1900","5974","8476","6625","11942.5","6117","1551"
"81(1,G9)","Unknown71","753","312","379.5","313","422","490","803","138","214","1619.5","524.5","567.5","616","1729","2016","2162","125","21486.5","5391","2287","1129","5385","306","1980","723","357","368","602","9386.5","2304","1843"
"82(1,G10)","Unknown79","21176","1797.5","1208.5","722.5","1732","700","1592","191","6597.5","3815","7073","10323","734","2330","18556","18511","310","18060.5","13145","16431","1712.5","1429","6180","17712","4694","6364.5","8356","2183","12305","6759.5","1633"
"83(1,G11)","Unknown87","28466","4047.5","3050","1357","3846","673","673","488","9794.5","1244","11917","16306","871","4589","24963.5","27594.5","841.5","25170","25019.5","27377","1235","2449","10186","23952","3815.5","9227","11122","9696","17051","10747","1640"
"84(1,G12)","Unknown95","16011","1220.5","785","561","1079","482","835","228","2827","1781","4206.5","7393","410","1258","12199","14747.5","349","6718.5","14868.5","11153","815.5","3865","4174","11444","3598","2762","4170","2107","8288.5","3106","1591"
"85(1,H1)","Unknown8","25100","501","2356","3322","1346.5","789.5","1218","115","3616.5","2895","11124.5","14526.5","485","1240","20367","21437","538","18000","316","14074.5","1477.5","4332","8172.5","9333","4276.5","4204","5037","2877","6660","5531.5","1755"
"86(1,H2)","Unknown16","10248","353","4575.5","1998","390.5","583.5","656","287","1626","1687","1956","4333.5","322.5","878","7955","12932.5","393","10316.5","923","9077.5","2718","7534","2226","9893.5","258","1653.5","2326","2561","4452","1269","1701"
"87(1,H3)","Unknown24","27089","333","1333","381","1780","226","277","193","10123","227","12121","15866","1299.5","1578","22040","24017","1371","4954","603.5","21930.5","2644","1688","9589.5","21123","1147","9095","12486","2178.5","19188","13242","1860"
"88(1,H4)","Unknown32","13245","299","1222","637","966","428","814","85","2828","1815","3792.5","7769","904.5","1446","9297","14842","510","13834","177","12981","2264.5","7654.5","4366.5","9272","4781","3124","3941","1190","7404","5989","1781"
"89(1,H5)","Unknown40","21935","407","2106","248","661.5","860.5","971","217","7020","2145.5","8547","12456.5","724","2365","17905.5","21652","785","12433.5","234","21848","3098.5","2487","7371","17534","2538","7255","8787","7303.5","13070","8267.5","1779"
"90(1,H6)","Unknown48","20000.5","289","1239","453.5","381","522","1438","92","5002","2076","5880.5","9681","446","2125","13549","17700","570","8301","188","16474","1165","3067","5223","11400","889","4159","4801","3045","6612","6221","1760"
"91(1,H7)","Unknown56","8883.5","595","4600.5","1948","2105","1008.5","1437","128","1966.5","2157","2373","5053","409.5","2128","6237","13002","656","10634.5","135.5","13442.5","2697","4049.5","2339","7632.5","5143","2300.5","2207","1689","3110","5161","1881"
"92(1,H8)","Unknown64","23628","346","4970","887.5","2620","510","736","2711","5091.5","669.5","7752.5","13066.5","1674","4071.5","18466","21985","1205","13656.5","1340","19996","4171","1600","7193","16845","1238","5053.5","6298","4901","9935","6551","1884"
"93(1,H9)","Unknown72","23516.5","397","1691","712","907","577","792","1607","7975","1781","8857","13436","684.5","4039.5","17717","22582","908","15391","1316","21900.5","1717","5214","8065","17342","2441.5","7819","9132","5135","15562","11199","1849"
"94(1,H10)","Unknown80","4025.5","310","910","775","850","404","604","219","435","882","558","1510.5","1117","3411","2570","4920","1979.5","14076","1663.5","4882","2434","3998","726","4383","4997","377.5","481","1288.5","1509","452","1677"
"95(1,H11)","Unknown88","16988","223","701","382.5","3567","324","543","90.5","4830.5","1202","5747","8953.5","428","1405","13902","16514","402.5","7121","193.5","15360.5","1234.5","985","4719","13099.5","4309.5","3254","5474","3372.5","8504","3666","1858"
"96(1,H12)","Unknown96","9198.5","744","1147","753","1092.5","609","1295","340","1724","2563","1971","3314","445","1336","8403.5","7498","437.5","10225.5","5587","7605","963","1188.5","1694","7578","1643","1462","1876","1039","2828.5","1266","1392"

"DataType:","Count"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
"1(1,A1)","B","48","65","74","71","52","62","48","64","46","56","35","61","81","67","54","66","36","42","59","40","47","53","55","50","64","77","54","61","49","55","1692"
"2(1,A2)","S","67","53","56","50","35","50","51","44","45","43","43","51","57","64","62","70","43","42","60","65","45","53","74","65","55","43","48","44","68","42","1588"
"3(1,A3)","S","56","76","84","72","51","58","51","62","62","58","59","71","69","43","70","52","33","57","62","45","52","53","64","69","60","49","55","52","46","56","1747"
"4(1,A4)","S","47","70","67","64","44","40","56","43","55","52","53","53","60","50","57","58","43","61","49","55","39","52","50","63","71","45","51","45","41","51","1585"
"5(1,A5)","S","43","60","70","44","46","51","55","46","39","37","34","42","49","47","49","68","41","39","66","58","22","59","48","47","52","51","45","47","42","35","1432"
"6(1,A6)","S","56","83","69","65","62","56","59","58","58","48","50","71","79","59","61","69","51","54","67","72","84","79","73","47","54","77","68","42","61","61","1893"
"7(1,A7)","S","48","60","63","52","43","46","59","45","54","59","43","46","62","46","43","59","43","44","58","76","42","33","65","58","63","50","48","34","46","52","1540"
"8(1,A8)","S","54","61","66","66","48","61","55","59","85","60","54","64","67","59","57","75","30","48","62","57","56","50","70","58","76","54","61","55","63","64","1795"
"9(1,A9)","S","72","77","78","64","54","60","68","69","56","62","54","53","71","69","81","70","52","60","73","57","61","59","81","68","61","69","51","45","58","63","1916"
"10(1,A10)","S","63","67","55","62","50","51","48","41","58","45","46","45","54","49","56","53","31","40","51","44","43","51","51","65","58","53","43","52","46","47","1518"
"11(1,A11)","S","58","64","66","65","39","57","51","47","50","68","56","41","69","60","70","75","52","39","60","68","50","42","67","65","78","58","63","40","58","50","1726"
"12(1,A12)","S","61","59","67","60","48","58","40","68","51","68","49","69","85","59","66","76","43","66","56","65","59","69","74","66","78","74","57","46","57","67","1861"
"13(1,B1)","Unknown2","60","58","66","51","33","40","44","42","45","40","56","51","76","48","63","51","35","51","44","52","56","38","55","68","69","57","55","38","47","45","1534"
"14(1,B2)","Unknown10","72","77","74","65","50","54","48","56","45","49","53","57","80","63","73","77","43","54","55","62","37","53","70","59","57","74","37","50","42","73","1759"
"15(1,B3)","Unknown18","79","78","101","69","57","51","57","60","70","57","55","69","71","80","75","60","47","58","57","65","47","66","88","80","64","58","64","61","72","64","1980"
"16(1,B4)","Unknown26","54","58","63","57","46","42","51","50","52","53","42","52","62","53","61","58","43","61","38","57","43","48","62","65","62","62","55","28","62","64","1604"
"17(1,B5)","Unknown34","61","62","80","60","50","55","52","69","73","57","49","61","62","62","80","57","34","45","74","74","57","44","67","73","66","57","58","43","68","54","1804"
"18(1,B6)","Unknown42","63","69","69","65","47","56","54","51","45","54","39","62","81","67","72","70","46","51","68","51","50","66","61","55","56","73","52","39","66","61","1759"
"19(1,B7)","Unknown50","52","55","58","53","47","52","45","51","56","46","50","37","67","52","61","67","40","42","44","52","50","47","51","59","78","57","52","44","53","65","1583"
"20(1,B8)","Unknown58","60","57","92","54","49","48","48","60","49","51","45","48","61","69","61","58","43","51","49","60","42","42","69","56","67","50","53","44","55","51","1642"
"21(1,B9)","Unknown66","41","51","55","43","38","31","37","40","54","40","43","52","75","39","54","50","28","47","32","47","37","44","65","54","58","58","40","40","45","43","1381"
"22(1,B10)","Unknown74","46","46","64","45","48","26","41","35","56","44","41","53","50","37","56","47","30","48","44","60","27","38","47","56","67","51","37","40","38","38","1356"
"23(1,B11)","Unknown82","58","63","73","57","35","55","49","65","44","60","50","50","71","54","76","66","34","52","56","61","32","43","49","51","60","57","62","39","40","61","1623"
"24(1,B12)","Unknown90","40","43","45","44","35","48","31","43","52","43","38","40","50","30","44","42","37","34","42","35","34","44","63","44","56","44","36","32","39","55","1263"
"25(1,C1)","Unknown3","64","54","65","52","41","42","42","41","45","44","43","52","70","48","70","65","46","45","58","51","36","51","47","55","55","44","50","40","53","54","1523"
"26(1,C2)","Unknown11","51","36","63","43","37","43","49","43","32","38","44","44","52","46","51","49","45","58","50","57","33","47","45","55","48","53","53","31","47","46","1389"
"27(1,C3)","Unknown19","63","63","84","46","47","48","44","45","49","53","39","46","66","48","60","54","43","55","73","66","44","52","75","62","69","46","56","40","35","58","1629"
"28(1,C4)","Unknown27","48","58","56","61","46","49","50","51","54","52","37","58","53","67","59","63","47","42","56","68","52","48","59","65","65","51","51","35","53","63","1617"
"29(1,C5)","Unknown35","45","57","61","42","28","47","33","51","50","51","44","46","67","43","48","57","36","51","50","56","33","31","51","41","54","57","51","33","55","61","1430"
"30(1,C6)","Unknown43","54","69","51","54","36","61","46","38","51","57","46","60","63","54","59","77","41","41","68","61","41","38","54","43","54","58","60","31","52","54","1572"
"31(1,C7)","Unknown51","52","63","68","51","34","51","44","50","50","47","36","40","70","46","57","48","34","41","35","48","38","49","65","42","43","51","49","38","47","57","1444"
"32(1,C8)","Unknown59","75","63","78","55","41","58","57","62","63","57","52","53","68","71","81","74","42","67","52","61","40","64","67","71","66","73","49","52","76","67","1855"
"33(1,C9)","Unknown67","69","77","71","52","57","55","42","49","53","58","45","60","75","63","60","67","46","37","67","55","55","58","65","68","55","65","60","50","47","50","1731"
"34(1,C10)","Unknown75","58","67","63","61","43","67","51","54","57","53","53","59","71","55","79","64","32","52","59","77","60","64","74","62","75","52","59","52","60","63","1796"
"35(1,C11)","Unknown83","71","71","72","68","51","54","58","62","53","47","53","61","70","63","70","69","54","67","62","51","61","42","62","69","66","50","50","51","51","64","1793"
"36(1,C12)","Unknown91","53","61","85","54","36","64","48","53","62","52","49","45","52","46","46","63","40","40","42","50","39","31","43","68","52","37","40","42","45","54","1492"
"37(1,D1)","Unknown4","67","64","68","56","54","44","55","53","52","42","54","47","76","53","68","82","30","47","62","62","52","46","65","68","68","65","54","61","61","56","1732"
"38(1,D2)","Unknown12","72","69","82","58","46","68","59","59","65","54","51","70","75","62","73","61","34","66","55","61","50","49","85","63","61","75","45","56","64","53","1841"
"39(1,D3)","Unknown20","77","89","86","77","60","71","65","60","54","67","36","74","88","65","74","67","46","60","65","69","63","61","78","67","73","61","60","51","66","58","1988"
"40(1,D4)","Unknown28","57","60","68","59","49","48","42","54","66","49","47","60","61","40","56","54","42","53","46","47","36","46","63","46","68","57","47","45","43","55","1564"
